COMPANY ID,MAIN TYPE,SUB TYPE,SHORT NAME,TRADING DATE,OPEN PRICE (Rs.),Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Date,Month,Year,RSI_14,MACD_Line,MACD_Signal,MACD_Hist,BB_Mid,BB_Upper,BB_Lower,Volume_Change,ATR,ATR_14,CLOSE PRICE (Lag 1),CLOSE PRICE (Lag 2),CLOSE PRICE (Lag 3),CLOSE PRICE (Lag 4),CLOSE PRICE (Lag 5),CLOSE PRICE (Lag 6),CLOSE PRICE (Lag 7),CLOSE PRICE (Lag 8),CLOSE PRICE (Lag 9),CLOSE PRICE (Lag 10),CLOSE PRICE (Lag 11),CLOSE PRICE (Lag 12),CLOSE PRICE (Lag 13),CLOSE PRICE (Lag 14),CLOSE PRICE (Lag 15),CLOSE PRICE (Lag 16),CLOSE PRICE (Lag 17),CLOSE PRICE (Lag 18),CLOSE PRICE (Lag 19),CLOSE PRICE (Lag 20),CLOSE PRICE (Lag 21),CLOSE PRICE (Lag 22),CLOSE PRICE (Lag 23),CLOSE PRICE (Lag 24),CLOSE PRICE (Lag 25),CLOSE PRICE (Lag 26),CLOSE PRICE (Lag 27),CLOSE PRICE (Lag 28),CLOSE PRICE (Lag 29),CLOSE PRICE (Lag 30),MA_7,MA_14,MA_30
RIL,N,0,R I L PROPERTY,2023-08-15,6.8,,,,,15,8,2023,43.75,0.2372567096283431,0.28829617251013545,-0.05103946288179234,6.745,7.052622461708031,6.437377538291969,-99.0,0.2642857142857143,0.2642857142857143,6.9,6.7,6.7,6.7,6.6,6.6,6.5,6.7,6.5,6.7,6.8,6.8,6.7,6.9,7.0,7.0,6.8,7.0,6.6,6.6,5.9,5.7,5.8,5.6,5.6,5.6,5.4,5.5,5.3,5.0,6.671428571428572,6.7,6.340000000000001
RIL,N,0,R I L PROPERTY,2023-08-16,6.7,,,,,16,8,2023,56.25,0.23736613189223288,0.27811016438655495,-0.04074403249432207,6.760000000000001,7.067108758379868,6.452891241620133,10.0,0.2785714285714286,0.2785714285714286,6.7,6.9,6.7,6.7,6.7,6.6,6.6,6.5,6.7,6.5,6.7,6.8,6.8,6.7,6.9,7.0,7.0,6.8,7.0,6.6,6.6,5.9,5.7,5.8,5.6,5.6,5.6,5.4,5.5,5.3,6.700000000000001,6.685714285714285,6.3966666666666665
RIL,N,0,R I L PROPERTY,2023-08-17,7.0,,,,,17,8,2023,53.33333333333335,0.23474683444209266,0.2694374983976625,-0.034690663955569856,6.755000000000001,7.048616290957654,6.461383709042347,-31.0,0.2785714285714286,0.2785714285714286,6.9,6.7,6.9,6.7,6.7,6.7,6.6,6.6,6.5,6.7,6.5,6.7,6.8,6.8,6.7,6.9,7.0,7.0,6.8,7.0,6.6,6.6,5.9,5.7,5.8,5.6,5.6,5.6,5.4,5.5,6.742857142857143,6.7,6.45
RIL,N,0,R I L PROPERTY,2023-08-18,6.9,,,,,18,8,2023,50.0,0.22204229274249965,0.25995845726662997,-0.037916164524130325,6.755,7.0486162909576535,6.461383709042346,-22.0,0.2785714285714286,0.2785714285714286,6.9,6.9,6.7,6.9,6.7,6.7,6.7,6.6,6.6,6.5,6.7,6.5,6.7,6.8,6.8,6.7,6.9,7.0,7.0,6.8,7.0,6.6,6.6,5.9,5.7,5.8,5.6,5.6,5.6,5.4,6.7857142857142865,6.707142857142858,6.496666666666666
RIL,N,0,R I L PROPERTY,2023-08-21,6.7,,,,,21,8,2023,58.823529411764696,0.2255126114366366,0.2530692881006313,-0.027556676663994695,6.755,7.0486162909576535,6.461383709042346,61.0,0.3,0.3,6.8,6.9,6.9,6.7,6.9,6.7,6.7,6.7,6.6,6.6,6.5,6.7,6.5,6.7,6.8,6.8,6.7,6.9,7.0,7.0,6.8,7.0,6.6,6.6,5.9,5.7,5.8,5.6,5.6,5.6,6.800000000000002,6.707142857142857,6.543333333333333
RIL,N,0,R I L PROPERTY,2023-08-22,6.7,,,,,22,8,2023,58.823529411764696,0.20970716185014382,0.2443968628505338,-0.03468970100038998,6.745,7.016254396035091,6.473745603964909,-86.0,0.29285714285714287,0.29285714285714287,7.0,6.8,6.9,6.9,6.7,6.9,6.7,6.7,6.7,6.6,6.6,6.5,6.7,6.5,6.7,6.8,6.8,6.7,6.9,7.0,7.0,6.8,7.0,6.6,6.6,5.9,5.7,5.8,5.6,5.6,6.842857142857143,6.728571428571429,6.59
RIL,N,0,R I L PROPERTY,2023-08-23,6.9,,,,,23,8,2023,53.33333333333332,0.19493414964590983,0.23450432020960904,-0.039570170563699214,6.739999999999999,7.0027786741326015,6.477221325867397,-17.0,0.27857142857142864,0.27857142857142864,6.8,7.0,6.8,6.9,6.9,6.7,6.9,6.7,6.7,6.7,6.6,6.6,6.5,6.7,6.5,6.7,6.8,6.8,6.7,6.9,7.0,7.0,6.8,7.0,6.6,6.6,5.9,5.7,5.8,5.6,6.857142857142857,6.75,6.629999999999999
RIL,N,0,R I L PROPERTY,2023-08-24,6.8,,,,,24,8,2023,57.142857142857146,0.17316117256685626,0.2222356906810585,-0.04907451811420224,6.74,7.002778674132602,6.477221325867398,19.0,0.2714285714285715,0.2714285714285715,6.8,6.8,7.0,6.8,6.9,6.9,6.7,6.9,6.7,6.7,6.7,6.6,6.6,6.5,6.7,6.5,6.7,6.8,6.8,6.7,6.9,7.0,7.0,6.8,7.0,6.6,6.6,5.9,5.7,5.8,6.842857142857143,6.757142857142857,6.67
RIL,N,0,R I L PROPERTY,2023-08-25,6.9,,,,,25,8,2023,53.84615384615387,0.15412922559532571,0.20861439766391196,-0.054485172068586246,6.734999999999999,6.996775315469993,6.473224684530006,-25.0,0.2642857142857145,0.2642857142857145,6.7,6.8,6.8,7.0,6.8,6.9,6.9,6.7,6.9,6.7,6.7,6.7,6.6,6.6,6.5,6.7,6.5,6.7,6.8,6.8,6.7,6.9,7.0,7.0,6.8,7.0,6.6,6.6,5.9,5.7,6.8428571428571425,6.771428571428571,6.699999999999999
RIL,N,0,R I L PROPERTY,2023-08-28,6.8,,,,,28,8,2023,50.0,0.12948448964218517,0.1927884160595666,-0.06330392641738142,6.725,6.991556994991481,6.458443005008518,2.0,0.2642857142857145,0.2642857142857145,6.7,6.7,6.8,6.8,7.0,6.8,6.9,6.9,6.7,6.9,6.7,6.7,6.7,6.6,6.6,6.5,6.7,6.5,6.7,6.8,6.8,6.7,6.9,7.0,7.0,6.8,7.0,6.6,6.6,5.9,6.814285714285714,6.778571428571429,6.733333333333333
